date,total_clones,unique_clones
2023-05-02,2,1
2023-05-03,1,1
2023-05-04,1,1
2023-05-05,1,1
2023-05-06,1,1
2023-05-07,1,1
2023-05-08,1,1
2023-05-09,1,1
2023-05-10,1,1
2023-05-11,1,1
2023-05-12,1,1
2023-05-13,1,1
2023-05-14,1,1
2023-05-15,1,1
2023-05-16,1,1
2023-05-17,1,1
2023-05-18,1,1
2023-05-19,1,1
2023-05-20,1,1
2023-05-21,1,1
2023-05-22,1,1
2023-05-23,1,1
2023-05-24,1,1
2023-05-25,1,1
2023-05-26,1,1
2023-05-27,1,1
2023-05-28,1,1
2023-05-29,1,1
2023-05-30,1,1
2023-05-31,1,1
2023-06-01,1,1
2023-06-02,1,1
2023-06-03,1,1
2023-06-04,1,1
2023-06-05,1,1
2023-06-06,1,1
2023-06-07,1,1
2023-06-08,1,1
2023-06-09,1,1
2023-06-10,1,1
2023-06-11,1,1
2023-06-12,1,1
2023-06-13,1,1
2023-06-14,1,1
2023-06-15,1,1
2023-06-16,1,1
2023-06-17,1,1
2023-06-18,1,1
2023-06-19,1,1
2023-06-20,1,1
2023-06-21,1,1
2023-06-22,1,1
2023-06-23,1,1
2023-06-24,1,1
2023-06-25,1,1
2023-06-26,1,1
2023-06-27,1,1
2023-06-28,1,1
2023-06-29,1,1
2023-06-30,1,1
2023-07-01,1,1
2023-07-02,1,1
2023-07-03,1,1
2023-07-04,1,1
2023-07-05,1,1
2023-07-06,1,1
2023-07-07,1,1
2023-07-08,1,1
2023-07-09,1,1
2023-07-10,1,1
2023-07-11,1,1
2023-07-12,1,1
2023-07-13,1,1
2023-07-14,1,1
2023-07-15,1,1
2023-07-16,1,1
2023-07-17,1,1
2023-07-18,1,1
2023-07-19,1,1
2023-07-20,1,1
2023-07-21,1,1
2023-07-22,1,1
2023-07-23,1,1
2023-07-24,1,1
2023-07-25,1,1
2023-07-26,1,1
2023-07-27,1,1
2023-07-28,1,1
2023-07-29,1,1
2023-07-30,1,1
2023-07-31,1,1
2023-08-01,1,1
2023-08-02,1,1
2023-08-03,1,1
2023-08-04,1,1
2023-08-05,1,1
2023-08-06,1,1
2023-08-07,1,1
2023-08-08,1,1
2023-08-09,1,1
2023-08-10,1,1
2023-08-11,1,1
2023-08-12,1,1
2023-08-13,1,1
2023-08-14,1,1
2023-08-15,1,1
2023-08-16,7,7
2023-08-17,3,3
2023-08-18,5,5
2023-08-19,4,4
2023-08-20,5,5
2023-08-21,3,3
2023-08-22,4,3
2023-08-23,2,2
2023-08-24,2,2
2023-08-25,4,4
2023-08-26,3,3
2023-08-27,5,5
2023-08-28,8,8
2023-08-29,4,4
2023-08-30,5,5
2023-08-31,5,4
2023-09-01,3,3
2023-09-02,6,5
2023-09-03,2,2
2023-09-04,4,4
2023-09-05,3,3
2023-09-06,3,3
2023-09-07,4,3
2023-09-08,4,4
2023-09-09,2,2
2023-09-10,4,4
2023-09-11,5,5
2023-09-12,4,4
2023-09-13,5,4
2023-09-14,4,4
2023-09-15,4,4
2023-09-16,5,5
2023-09-17,4,4
2023-09-18,5,5
2023-09-19,6,6
2023-09-20,6,6
2023-09-21,4,4
2023-09-22,4,4
2023-09-23,3,3
2023-09-24,2,2
2023-09-25,5,5
2023-09-26,3,3
2023-09-27,3,3
2023-09-28,3,3
2023-09-29,3,3
2023-09-30,2,2
2023-10-01,4,4
2023-10-02,4,4
2023-10-03,5,5
2023-10-04,3,3
2023-10-05,3,3
2023-10-06,2,2
2023-10-07,1,1
2023-10-08,1,1
2023-10-09,3,3
2023-10-10,4,3
2023-10-11,3,3
2023-10-12,2,2
2023-10-13,2,2
2023-10-14,3,3
2023-10-15,3,3
2023-10-16,3,3
2023-10-17,3,3
2023-10-18,4,4
2023-10-19,4,4
2023-10-20,5,5
2023-10-21,4,4
2023-10-22,7,7
2023-10-23,6,6
2023-10-24,4,4
2023-10-25,2,2
